Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3
Mission (aka City of Bars),2001,"The 500 Club (500 Guerrero Street, Mission District)",,NA,NA,Loren Marsh,Loren Marsh,Chris Coburn,,
Mission (aka City of Bars),2001,Mission Delores Park (Mission District),"The two land plots that comprise the Park were used as a Jewish cemetary until 1894 when San Francisco prohibited all burials within city limits.The graves were moved to Colma, CA.",NA,NA,Loren Marsh,Loren Marsh,Chris Coburn,,
Mona Lisa Smile,2003,,,Revolution Studios,Columbia Pictures,Mike Newell,Lawrence Konner,Julia Roberts,Kirsten Dunst,Julia Stiles
Mother,1996,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Paramount Pictures,Paramount Pictures,Albert Brooks,Albert Brooks,Albert Brooks,Debbie Reynolds,John C. McGinley
Mother,1996,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Paramount Pictures,Paramount Pictures,Albert Brooks,Albert Brooks,Albert Brooks,Debbie Reynolds,John C. McGinley
Mrs. Doubtfire,1993,Hancock School (940 Filbert Street),,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan
Mrs. Doubtfire,1993,Danilo's Bakery (Green Street & Bannam Place),,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan
Mrs. Doubtfire,1993,Chrissy Field,Chrissy Field was originally an airfield for the Presidio Army Base. ,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan
Mrs. Doubtfire,1993,520-522A Green Street at Grant Street,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan
Mrs. Doubtfire,1993,516 Green Street,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan
Mrs. Doubtfire,1993,1200 Washington Street at Taylor Street,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan
Mrs. Doubtfire,1993,100 Embarcadero Street,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan
Murder in the First,1995,Pier 7,,Warner Bros. Pictures,Warner Bros. Pictures,Marc Rocco,Dan Gordon,Christian Slater,Kevin Bacon,Gary Oldman
Murder in the First,1995,Palace of Fine Arts,"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Warner Bros. Pictures,Warner Bros. Pictures,Marc Rocco,Dan Gordon,Christian Slater,Kevin Bacon,Gary Oldman
Murder in the First,1995,Aquatic Park (Jefferson Street),"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Warner Bros. Pictures,Warner Bros. Pictures,Marc Rocco,Dan Gordon,Christian Slater,Kevin Bacon,Gary Oldman
Murder in the First,1995,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Warner Bros. Pictures,Warner Bros. Pictures,Marc Rocco,Dan Gordon,Christian Slater,Kevin Bacon,Gary Oldman
Murder in the First,1995,Alamo Square,,Warner Bros. Pictures,Warner Bros. Pictures,Marc Rocco,Dan Gordon,Christian Slater,Kevin Bacon,Gary Oldman
My Reality,2011,Chouguet's (2500 Washington Street),,Dare TV,,Marcia Kimpton,Marica Kimpton,Marcia Kimpton,,
My Reality,2011,3122 16th Street,,Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,
My Reality,2011,500 Club (500 Guerrero),,Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,
My Reality,2011,O'Farrell & Jones Streets,,Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,
My Reality,2011,Triton Hotel (342 Grant Street),,Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,
My Reality,2011,Grant Avenue & Union Street,,Dare TV,,Marcia Kimpton,Marcia Kimpton,Marcia Kimpton,,
Never Die Twice,2001,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Scott / Kelly Films,,Sean A.F. Scott,Sean A.F. Scott & Nancy L. Kelly,Claudia Christian,,
Night of Henna,2005,,,Zee Films,Illuminare Entertainment,Hassan Zee,Hassan Zee,Joyce Carlin,Nancy Carlin,
Nina Takes a Lover,1994,,,Alan Jacobs Productions,Columbia TriStar Home Video,Alan Jacobs,Alan Jacobs,Laura San Giacomo,,
Nine Months,1995,Wasteland Store (1600 Haight Street),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,The Malloch Apartment Building (1360 Montgomery Street),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,Star's Café (55 Golden Gate Avenue at Van Ness),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not alllowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptuals.",1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County. ,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,Pierce Street between Pacific & Green Streets,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,Montgomery & Vallejo Streets,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,Marathon Plaza (303 2nd Street),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,Jones Street at Bush,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,Jack Kerouac Alley between Columbus & Grant Streets,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,Chrissy Field,Chrissy Field was originally an airfield for the Presidio Army Base. ,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,Belli Building (722 Montgomery Street at Washington),,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,Alamo Square,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,60 Spear Street,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine Months,1995,"101 Henry Adams Place, 4th Floor",,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold
Nine to Five,1980,Albert S. Samuels Clock (856 Market Street between Powell and Stockton),,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Colin Higgins,Colin Higgins,Jane Fonda,Lily Tomlin,Dolly Parton
Nora Prentiss,1947,Belgravia Apartments (795 Sutter Street at Jones),,Warner Bros. Pictures,Warner Bros. Pictures,Vincent Sherman,N. Richard Nash,Ann Sheridan,Kent Smith,
On the Beach,1959,,,Stanley Kramer Productions,United Artists,Stanley Kramer,,Gregory Peck,Ava Gardner,Fred Astaire
On the Road,2010,2017 23rd Street,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,Kirsten Stewart
On the Road,2010,Filbert & Leavenworth Streets,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,Kristen Stewart
On the Road,2010,Sacramento & Montgomery Streets,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,Kristen Stewart
On the Road,2010,Bay Bridge,,SPAD Films,IFC Films & Sundance Selects,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,Kristen Stewart
Pacific Heights,1990,Texas & 19th Streets (Potrero Hill),,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,Michael Keaton
Pacific Heights,1990,Financial District,,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,Michael Keaton
Pacific Heights,1990,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,Michael Keaton
Pal Joey,1957,"Spreckles Mansion (2080 Washington Street, Pacific Heights)",,Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,Kim Novak
Pal Joey,1957,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,Kim Novak
Pal Joey,1957,Barbary Coast,"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establisments out of business.",Columbia Pictures Corporation,Columbia Pictures,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,Kim Novak
Panther,1995,,,Gramercy Pictures,PolyGram Video,Mario Van Peebles,Mario Van Peebles,Kadeem Hardison,Bookeem Woodbine,Courtney B. Vance
Patch Adams,1998,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,
Patch Adams,1998,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909. ",Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,
Patch Adams,1998,Presidio (Golden Gate National Recreation Area),"In 1776, Spain made the Presido a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,
Patty Hearst,1988,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,Ving Rhames
Patty Hearst,1988,Bank of America (38th Street at Balboa Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,Ving Rhames
Petulia,1968,Pier 43 1/2,,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain
Petulia,1968,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park","The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain
Petulia,1968,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confererate general learned that the war had ended while en route to SF.",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain
Petulia,1968,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain
Petulia,1968,Cala Foods (California Street and Hyde),,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain
Petulia,1968,307 Filbert Street,,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain
Petulia,1968,2417 Franklin Street,,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain
Phenomenon,1996,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Touchstone Pictures,Buena Vista Pictures,Jon Turteltaub,Gerald Dipego,John Travolta,Kyra Sedgwick,Forest Whitaker
"Play it Again, Sam",1972,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",The theater closed in 1985.,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,
"Play it Again, Sam",1972,Surf Theater (4520 Irving Street),,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,
"Play it Again, Sam",1972,Hyde Street Cable Car,,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,
"Play it Again, Sam",1972,Balboa at 22nd Avenue,,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,
"Play it Again, Sam",1972,Aquatic Park (Jefferson Street),"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,
"Play it Again, Sam",1972,15-17 Fresno Street,,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,
Playing Mona Lisa,2000,Conservatory of Flowers (Golden Gate Park),"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere.",The Bubble Factory,Buena Vista Pictures,Matthew Huffman,Marni Freedman,Alicia Witt,Harvey Fierstein,Marlo Thomas
Pleasure of His Company,1961,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Perlsea Company,Parmaount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,
Pleasure of His Company,1961,2700 Vallejo Street (Pacific Heights),,Perlsea Company,Parmaount Pictures,George Seaton,Samuel A. Taylor,Fred Astaire,Debbie Reynolds,
Point Blank,1967,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confererate general learned that the war had ended while en route to SF.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs,Lee Marvin,Angie Dickinson,
Point Blank,1967,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,John Boorman,Alexander Jacobs,Lee Marvin,Angie Dickinson,
Pretty Woman,1990,,,Touchstone Pictures,Buena Vista Pictures,Garry Marshall,J.F. Lawton,Richard Gere,Julia Roberts,
Psych-Out,1968,,,Dick Clark Productions,American International Pictures (AIP),Richard Rush,Betty Tusher,Jack Nicholson,Susan Strasberg,Bruce Dern
Quicksilver,1986,Pacific Stock Exchange,,Columbia Pictures Corporation,Columbia Pictures,Thomas Michael Donnelly,Thomas Michael Donnelly,Kevin Bacon,Jami Gertz,Paul Rodriguez
Raising Cain,1992,,,Pacific Western,Universal Pictures,Brian DePalma,Brian DePalma,John Lithgow,,
Red Diaper Baby,2004,"Magic Theater (Fort Mason, Golden Gate National Recreation Area)","Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.",Hello Hooker Productions,Sundance Channel,Doug Pray,Josh Kornbluth,Josh Kornbluth,,
Rent,2005,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Rent Productions LLC,Columbia Pictures,Chris Columbus,Stephen Chbosky,Anthony Rapp,Rosario Dawson,
Rollerball,2002,,,Atlas Entertainment,MGM Home Entertainment,John McTiernan,William Harrison,Chris Klein,Jean Reno,LL Cool J
Romeo Must Die,2000,Embarcadero Street,,Silver Pictures,Warner Bros. Pictures,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,Aaliyah,
Romeo Must Die,2000,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Silver Pictures,Warner Bros. Pictures,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,Aaliyah,
San Francisco,1936,The Barbary Coast,"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establisments out of business.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Spencer Tracy
San Francisco,1936,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Spencer Tracy
Sausalito,2000,The Castro,"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.",B.O.B and Partners,,Andrew Lau,,Maggie Cheung,Leon Lai,
Serendipity,2001,,,Miramax Films,Miramax Home Entertainment,Peter Chelsom,Marc Klein,John Cusack,Kate Beckinsale,
Serial,1980,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Paramount Pictures,Paramount Pictures,Bill Persky,Rich Eustis,Martin Mull,,
Seven Girlfriends,1999,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",White Dwarf Productions,Lions Gate Films Home Entertainment,Paul Lazarus,Paul Lazarus,Laura Leighton,Tim Daly,
Shadow of the Thin Man,1941,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugene Cardinal Pacelli, who later became Pope Pius XII. ",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Harry Kurnitz,William Powell,Myrna Loy,Donna Reed
Shattered,1991,,,Capella International,Metro-Goldwyn-Mayer,Wolfgang Petersen,Wolfgang Petersen,Tom Berenger,Bob Hoskins,
Shoot the Moon,1982,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Alan Parker,Bo Goldman,Albert Finney, Diane Keaton,
Sister Act,1992,"St. Paul's Church (Church Street, Noe Valley)",,Touchstone Pictures,Buena Vista Pictures,Emile Ardolino,Joseph Howard,Whoopi Goldberg,Maggie Smith,
Sister Act 2: Back in the Habit,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not alllowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptuals.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,Lauryn Hill
Sister Act 2: Back in the Habit,1993,"Maritime Museum, Building 201 (Fort Mason)",,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,Lauryn Hill
Sister Act 2: Back in the Habit,1993,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,Lauryn Hill
Sister Act 2: Back in the Habit,1993,CCSF Alemany Campus ,,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,Lauryn Hill
Sister Act 2: Back in the Habit,1993,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,Lauryn Hill
Sneakers,1992,The Embarcadero,,Universal Pictures,Universal Pictures,Phil Alden Robinson,Walter Parkes,Sydney Poitier,Robert Redford,River Phoenix
Sneakers,1992,Hills Brothers Plaza (The Embarcadero at Harrison),,Universal Pictures,Universal Pictures,Phil Alden Robinson,Walter Parkes,Sydney Poitier,Robert Redford,River Phoenix
So I Married an Axe Murderer,1993,Vesuvio Café (255 Columbus Avenue),Jack Kerouac was a regular at the café.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,Swedenborgian Church (2107 Lyon Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,St. John's Presbyterian Church (25 Lake Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,San Francisco Chronicle (901 Mission Street at 15th Street),The paper is called the San Francisco Globe in the movie.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,Rocco's Corner (Columbus Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,Prudente's Italian Deli (1462 Grant Ave at Union),"Prudente's Italian Deli, which has since closed, is called ""Meats of the World"" in the film.",TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,Fog City Diner (1300 Battery Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,Edinburgh Castle (950 Geary Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,City Light Bookstore (261 Columbus Avenue),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,Café Picaro 3120 16th Street,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)",,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,305 Hugo Street,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
So I Married an Axe Murderer,1993,"1462 Grant Avenue, at Union Street",,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
Sphere,1998,S.S. Jeremiah O'Brien,,Constant c Productions,Warner brothers Pictures,Barry Levinson,Kurt Wimmer,Dustin Hoffman,Sharon Stone,Samuel L. Jackson
Star Trek II : The Wrath of Khan,1982,Golden Gate Park,,Paramount Pictures,Paramount Pictures,Nicholas Meyer,Harve Bennett,William Shatner,Leonard Nimoy,
Star Trek IV: The Voyage Home,1986,"West Harbor, Marina District",,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,
Star Trek IV: The Voyage Home,1986,North Beach,,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,
Star Trek IV: The Voyage Home,1986,"Marina Green, Marina District","Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition. ",Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,
Star Trek IV: The Voyage Home,1986,Kearny & Pacific Streets,,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,
Star Trek IV: The Voyage Home,1986,Intersection of Grant & Fresno Streets (North Beach),,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,
Star Trek IV: The Voyage Home,1986,Intersection of Columbus & Mason Streets,,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,
Star Trek IV: The Voyage Home,1986,Intersection of Columbus & Kearney Streets,,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,
Star Trek IV: The Voyage Home,1986,Golden Gate Park,,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,
Star Trek IV: The Voyage Home,1986,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,
